tube_assembly_id,supplier
TA-07309,S-0066
TA-20982,S-0066
TA-08125,S-0062
TA-09405,S-0066
TA-18706,S-0066
TA-20855,S-0066
TA-20538,S-0066
TA-17193,S-0041
TA-20832,S-0066
TA-19148,S-0066
TA-04479,S-0066
TA-09338,S-0066
TA-13858,S-0041
TA-20367,S-0066
TA-00883,S-0072
TA-17549,S-0066
TA-20563,S-0066
TA-18126,S-0066
TA-02103,S-0066
TA-11546,S-0066
TA-01459,S-0026
TA-13818,S-0054
TA-19592,S-0072
TA-20027,S-0066
TA-02337,S-0066
TA-05147,S-0066
TA-12618,S-0066
TA-20505,S-0066
TA-01247,S-0066
TA-10328,S-0066
TA-05714,S-0066
TA-19236,S-0066
TA-04275,S-0030
TA-01152,S-0066
TA-18945,S-0013
TA-17829,S-0005
TA-00462,S-0066
TA-00335,S-0066
TA-04738,S-0066
TA-08782,S-0066
TA-20869,S-0066
TA-18950,S-0066
TA-07021,S-0066
TA-00662,S-0066
TA-07845,S-0072
TA-07159,S-0066
TA-03130,S-0066
TA-21057,S-0064
TA-06561,S-0066
TA-05016,S-0066
TA-05496,S-0066
TA-20486,S-0066
TA-02507,S-0066
TA-03981,S-0066
TA-18745,S-0066
TA-01134,S-0066
TA-13740,S-0054
TA-10820,S-0066
TA-05129,S-0072
TA-05714,S-0066
TA-20455,S-0072
TA-01769,S-0066
TA-05321,S-0041
TA-19366,S-0066
TA-20893,S-0066
TA-20808,S-0066
TA-10389,S-0066
TA-01679,S-0066
TA-08421,S-0027
TA-18886,S-0066
TA-04762,S-0072
TA-10293,S-0066
TA-19237,S-0066
TA-12378,S-0072
TA-05193,S-0066
TA-01169,S-0066
TA-05009,S-0066
TA-19218,S-0066
TA-20151,S-0066
TA-01609,S-0014
TA-03988,S-0072
TA-00161,S-0066
TA-01556,S-0066
TA-07066,S-0058
TA-13791,S-0041
TA-20619,S-0066
TA-18742,S-0066
TA-05644,S-0066
TA-19115,S-0066
TA-19257,S-0041
TA-04637,S-0054
TA-01816,S-0066
TA-10111,S-0066
TA-10973,S-0066
TA-00662,S-0066
TA-06246,S-0066
TA-11067,S-0066
TA-04248,S-0066
TA-11466,S-0041
TA-06443,S-0066
TA-00092,S-0066
TA-11816,S-0072
TA-11085,S-0066
TA-00320,S-0066
TA-00096,S-0066
TA-01335,S-0066
TA-18651,S-0066
TA-20279,S-0066
TA-19440,S-0066
TA-15200,S-0041
TA-00105,S-0066
TA-05178,S-0072
TA-02653,S-0072
TA-01953,S-0054
TA-05905,S-0041
TA-07159,S-0066
TA-09473,S-0066
TA-19653,S-0066
TA-14082,S-0066
TA-03382,S-0066
TA-08742,S-0072
TA-01357,S-0066
TA-21006,S-0066
TA-20332,S-0066
TA-07020,S-0066
TA-10111,S-0066
TA-00014,S-0066
TA-20192,S-0066
TA-00014,S-0066
TA-02022,S-0066
TA-11179,S-0072
TA-10495,S-0066
TA-20690,S-0066
TA-08859,S-0054
TA-04267,S-0072
TA-07572,S-0066
TA-01134,S-0066
TA-11074,S-0066
TA-10945,S-0066
TA-15106,S-0041
TA-09407,S-0066
TA-04150,S-0066
TA-08500,S-0066
TA-10414,S-0104
TA-00119,S-0066
TA-20233,S-0066
TA-09998,S-0066
TA-01509,S-0066
TA-19645,S-0062
TA-05684,S-0066
TA-03685,S-0041
TA-00056,S-0066
TA-07567,S-0041
TA-20009,S-0066
TA-18890,S-0066
TA-12447,S-0054
TA-18732,S-0066
TA-02056,S-0066
TA-09686,S-0072
TA-06091,S-0066
TA-19401,S-0066
TA-18990,S-0072
TA-04260,S-0066
TA-13190,S-0070
TA-20575,S-0066
TA-13818,S-0054
TA-07249,S-0066
TA-19125,S-0066
TA-06209,S-0066
TA-06482,S-0072
TA-06440,S-0066
TA-05687,S-0066
TA-05707,S-0066
TA-18890,S-0066
TA-03719,S-0066
TA-03329,S-0066
TA-06304,S-0072
TA-00567,S-0072
TA-05648,S-0066
TA-19368,S-0066
TA-15846,S-0066
TA-09323,S-0066
TA-19871,S-0064
TA-18053,S-0066
TA-06074,S-0066
TA-08291,S-0066
TA-00054,S-0064
TA-16076,S-0026
TA-04648,S-0066
TA-00787,S-0072
TA-21056,S-0066
TA-01352,S-0066
TA-05996,S-0066
TA-01682,S-0066
TA-21113,S-0066
TA-20982,S-0066
TA-13024,S-0066
TA-03288,S-0066
TA-13429,S-0054
TA-20424,S-0066
TA-12649,S-0041
TA-18745,S-0066
TA-02171,S-0072
TA-05596,S-0066
TA-19798,S-0066
TA-03040,S-0066
TA-02200,S-0066
TA-15075,S-0041
TA-03525,S-0066
TA-00316,S-0072
TA-20607,S-0066
TA-07330,S-0072
TA-20251,S-0066
TA-06849,S-0058
TA-11783,S-0041
TA-19661,S-0066
TA-03447,S-0066
TA-09769,S-0066
TA-17268,S-0066
TA-11485,S-0066
TA-05235,S-0066
TA-01621,S-0066
TA-20279,S-0066
TA-04757,S-0066
TA-17929,S-0072
TA-20421,S-0066
TA-01650,S-0066
TA-19717,S-0066
TA-05743,S-0066
TA-03905,S-0066
TA-09124,S-0066
TA-20867,S-0066
TA-17593,S-0066
TA-20040,S-0066
TA-19991,S-0066
TA-19360,S-0066
TA-00586,S-0066
TA-19375,S-0066
TA-04301,S-0041
TA-20597,S-0066
TA-17611,S-0066
TA-18916,S-0066
TA-04119,S-0072
TA-20196,S-0066
TA-19720,S-0066
TA-12436,S-0041
TA-03745,S-0066
TA-18792,S-0064
TA-06106,S-0062
TA-04379,S-0066
TA-05815,S-0066
TA-01530,S-0066
TA-05817,S-0066
TA-16057,S-0041
TA-14130,S-0041
TA-02096,S-0066
TA-15355,S-0072
TA-19621,S-0026
TA-05358,S-0072
TA-10101,S-0041
TA-19226,S-0066
TA-01198,S-0066
TA-04658,S-0066
TA-01039,S-0064
TA-02376,S-0066
TA-14597,S-0041
TA-04939,S-0072
TA-13483,S-0066
TA-17415,S-0066
TA-05912,S-0041
TA-11086,S-0066
TA-10544,S-0062
TA-19681,S-0041
TA-20206,S-0066
TA-17567,S-0066
TA-20932,S-0066
TA-16182,S-0041
TA-20936,S-0066
TA-06208,S-0066
TA-20246,S-0066
TA-01505,S-0066
TA-19367,S-0066
TA-06378,S-0072
TA-05852,S-0066
TA-03759,S-0066
TA-08534,S-0066
TA-01916,S-0072
TA-00942,S-0066
TA-20859,S-0066
TA-18838,S-0066
TA-01352,S-0066
TA-14325,S-0041
TA-17535,S-0066
TA-20193,S-0066
TA-04111,S-0066
TA-11588,S-0072
TA-07170,S-0066
TA-11525,S-0066
TA-19414,S-0066
TA-19388,S-0066
TA-06757,S-0066
TA-10364,S-0066
TA-16204,S-0041
TA-18702,S-0066
TA-01189,S-0066
TA-10520,S-0066
TA-10672,S-0041
TA-18651,S-0066
TA-09408,S-0066
TA-19413,S-0066
TA-03903,S-0014
TA-05001,S-0066
TA-06292,S-0066
TA-05739,S-0066
TA-03382,S-0066
TA-05925,S-0066
TA-00834,S-0066
TA-07260,S-0058
TA-20998,S-0066
TA-05759,S-0066
TA-09404,S-0066
TA-20611,S-0066
TA-20269,S-0066
TA-13033,S-0013
TA-20234,S-0066
TA-20976,S-0066
TA-03755,S-0066
TA-00086,S-0066
TA-10343,S-0058
TA-01302,S-0066
TA-01763,S-0066
TA-13739,S-0054
TA-12591,S-0066
TA-05216,S-0066
TA-19386,S-0013
TA-05437,S-0066
TA-07065,S-0058
TA-18908,S-0066
TA-04168,S-0066
TA-03065,S-0066
TA-10652,S-0041
TA-03378,S-0066
TA-15198,S-0041
TA-02705,S-0072
TA-02607,S-0066
TA-16373,S-0058
TA-09301,S-0066
TA-20625,S-0066
TA-18631,S-0054
TA-03386,S-0066
TA-00985,S-0066
TA-19932,S-0066
TA-00983,S-0066
TA-10826,S-0066
TA-09409,S-0066
TA-20655,S-0066
TA-14489,S-0072
TA-19116,S-0066
TA-00164,S-0062
TA-19191,S-0066
TA-15827,S-0041
TA-14921,S-0041
TA-04260,S-0066
TA-07737,S-0066
TA-01470,S-0066
TA-17522,S-0066
TA-00153,S-0066
TA-01670,S-0066
TA-20002,S-0066
TA-14410,S-0072
TA-01434,S-0066
TA-14281,S-0054
TA-01670,S-0066
TA-00520,S-0041
TA-19670,S-0072
TA-20932,S-0066
TA-02381,S-0066
TA-01847,S-0066
TA-05034,S-0066
TA-00667,S-0072
TA-12342,S-0072
TA-03758,S-0066
TA-09646,S-0041
TA-13664,S-0041
TA-13387,S-0054
TA-06429,S-0066
TA-09674,S-0066
TA-17505,S-0066
TA-05196,S-0064
TA-04262,S-0066
TA-06317,S-0066
TA-01334,S-0066
TA-01927,S-0066
TA-03424,S-0072
TA-17635,S-0026
TA-01566,S-0066
TA-00061,S-0066
TA-12724,S-0013
TA-11168,S-0031
TA-09789,S-0072
TA-06762,S-0066
TA-17496,S-0066
TA-02498,S-0066
TA-00145,S-0066
TA-11280,S-0066
TA-19406,S-0066
TA-00922,S-0066
TA-20793,S-0066
TA-01774,S-0066
TA-06475,S-0066
TA-20808,S-0066
TA-01728,S-0066
TA-11721,S-0054
TA-04142,S-0066
TA-11729,S-0041
TA-00052,S-0066
TA-04872,S-0041
TA-17458,S-0066
TA-21167,S-0066
TA-20418,S-0066
TA-18677,S-0066
TA-09403,S-0066
TA-10180,S-0066
TA-02096,S-0066
TA-20254,S-0066
TA-20557,S-0066
TA-13026,S-0054
TA-00154,S-0066
TA-15873,S-0027
TA-10299,S-0058
TA-00747,S-0066
TA-19445,S-0066
TA-04157,S-0066
TA-10017,S-0072
TA-03719,S-0066
TA-02200,S-0066
TA-01462,S-0014
TA-02782,S-0041
TA-05388,S-0066
TA-01312,S-0066
TA-03520,S-0066
TA-08858,S-0054
TA-04792,S-0041
TA-01144,S-0066
TA-04442,S-0066
TA-00148,S-0066
TA-03130,S-0066
TA-02890,S-0072
TA-19352,S-0066
TA-02836,S-0066
TA-04162,S-0066
TA-07507,S-0066
TA-21191,S-0041
TA-10652,S-0041
TA-05848,S-0066
TA-20655,S-0066
TA-09675,S-0066
TA-07166,S-0066
TA-11035,S-0066
TA-01928,S-0066
TA-14281,S-0054
TA-00832,S-0066
TA-06725,S-0066
TA-14607,S-0066
TA-20618,S-0066
TA-20928,S-0066
TA-03906,S-0066
TA-19966,S-0066
TA-00991,S-0066
TA-20649,S-0066
TA-01597,S-0013
TA-12330,S-0041
TA-07073,S-0066
TA-11934,S-0041
TA-02811,S-0066
TA-12601,S-0041
TA-09497,S-0066
TA-19609,S-0072
TA-02096,S-0066
TA-20362,S-0066
TA-01061,S-0066
TA-16465,S-0054
TA-19829,S-0066
TA-12276,S-0013
TA-04222,S-0041
TA-16421,S-0041
TA-07659,S-0066
TA-03536,S-0066
TA-00334,S-0066
TA-10215,S-0066
TA-02579,S-0066
TA-05176,S-0066
TA-19415,S-0066
TA-20863,S-0066
TA-04129,S-0066
TA-19051,S-0066
TA-03499,S-0066
TA-01151,S-0066
TA-19363,S-0066
TA-02506,S-0064
TA-20318,S-0066
TA-05244,S-0066
TA-04130,S-0066
TA-19185,S-0066
TA-09219,S-0066
TA-07234,S-0008
TA-02474,S-0066
TA-19006,S-0066
TA-20855,S-0066
TA-01821,S-0072
TA-19912,S-0066
TA-10817,S-0066
TA-19152,S-0064
TA-08730,S-0058
TA-03890,S-0066
TA-07159,S-0066
TA-03509,S-0066
TA-05984,S-0072
TA-19479,S-0062
TA-15012,S-0041
TA-04397,S-0066
TA-01243,S-0066
TA-12227,S-0066
TA-00315,S-0066
TA-01286,S-0066
TA-20942,S-0066
TA-06564,S-0066
TA-19158,S-0066
TA-11927,S-0066
TA-06725,S-0066
TA-19194,S-0066
TA-18956,S-0066
TA-19539,S-0066
TA-13836,S-0066
TA-05208,S-0066
TA-21067,S-0066
TA-01879,S-0066
TA-12257,S-0041
TA-03824,S-0066
TA-03031,S-0066
TA-20426,S-0066
TA-15482,S-0058
TA-15366,S-0041
TA-16220,S-0041
TA-09407,S-0066
TA-04278,S-0072
TA-03651,S-0066
TA-14978,S-0041
TA-08101,S-0066
TA-20954,S-0064
TA-09405,S-0066
TA-01835,S-0041
TA-00981,S-0066
TA-04203,S-0062
TA-05891,S-0041
TA-07926,S-0041
TA-18947,S-0066
TA-16686,S-0026
TA-00991,S-0066
TA-19613,S-0072
TA-08953,S-0066
TA-18085,S-0013
TA-03059,S-0066
TA-06168,S-0066
TA-19116,S-0066
TA-19233,S-0066
TA-20749,S-0066
TA-09685,S-0026
TA-10389,S-0066
TA-13920,S-0066
TA-10122,S-0066
TA-07771,S-0066
TA-00083,S-0066
TA-02031,S-0066
TA-18954,S-0066
TA-00092,S-0066
TA-18942,S-0066
TA-18860,S-0072
TA-17926,S-0105
TA-03532,S-0066
TA-13852,S-0066
TA-07160,S-0066
TA-05300,S-0072
TA-13673,S-0041
TA-14993,S-0041
TA-16836,S-0013
TA-10378,S-0062
TA-07474,S-0066
TA-06537,S-0072
TA-00092,S-0066
TA-03154,S-0066
TA-13979,S-0041
TA-01274,S-0066
TA-07736,S-0066
TA-09403,S-0066
TA-05660,S-0066
TA-01480,S-0066
TA-03752,S-0066
TA-13445,S-0066
TA-15725,S-0041
TA-02417,S-0066
TA-04701,S-0066
TA-01787,S-0066
TA-10679,S-0041
TA-00993,S-0066
TA-00715,S-0066
TA-17554,S-0066
TA-20867,S-0066
TA-10817,S-0066
TA-01357,S-0066
TA-19304,S-0066
TA-19154,S-0066
TA-11997,S-0041
TA-20255,S-0066
TA-01757,S-0014
TA-04397,S-0066
TA-03499,S-0066
TA-03327,S-0066
TA-07157,S-0066
TA-10179,S-0072
TA-06598,S-0066
TA-14592,S-0058
TA-20329,S-0066
TA-00144,S-0066
TA-05171,S-0066
TA-20568,S-0066
TA-05987,S-0072
TA-21125,S-0066
TA-12997,S-0041
TA-13462,S-0054
TA-03065,S-0066
TA-19033,S-0064
TA-14236,S-0041
TA-14400,S-0054
TA-20954,S-0064
TA-01847,S-0066
TA-04609,S-0066
TA-03680,S-0066
TA-04379,S-0066
TA-20692,S-0066
TA-15202,S-0041
TA-02772,S-0072
TA-14897,S-0072
TA-07569,S-0066
TA-14742,S-0066
TA-07176,S-0058
TA-11908,S-0072
TA-02308,S-0066
TA-09119,S-0066
TA-03992,S-0066
TA-02629,S-0072
TA-04160,S-0066
TA-10483,S-0066
TA-05629,S-0066
TA-15190,S-0041
TA-07840,S-0066
TA-10805,S-0066
TA-16515,S-0058
TA-18165,S-0041
TA-01906,S-0066
TA-18245,S-0054
TA-00691,S-0066
TA-09242,S-0013
TA-19107,S-0066
TA-09047,S-0066
TA-06472,S-0066
TA-14066,S-0041
TA-05782,S-0066
TA-19313,S-0066
TA-19920,S-0066
TA-18988,S-0066
TA-04595,S-0066
TA-20645,S-0066
TA-03289,S-0066
TA-10187,S-0072
TA-07646,S-0041
TA-00540,S-0064
TA-09501,S-0066
TA-13495,S-0041
TA-19424,S-0066
TA-18707,S-0066
TA-07156,S-0066
TA-10977,S-0066
TA-02027,S-0066
TA-06296,S-0066
TA-19921,S-0066
TA-01680,S-0066
TA-17395,S-0041
TA-03718,S-0066
TA-01118,S-0066
TA-19948,S-0066
TA-18937,S-0066
TA-10988,S-0066
TA-00463,S-0066
TA-00272,S-0054
TA-10298,S-0058
TA-03824,S-0066
TA-05907,S-0013
TA-09119,S-0066
TA-00741,S-0066
TA-05680,S-0066
TA-10246,S-0072
TA-05660,S-0066
TA-08720,S-0066
TA-05846,S-0066
TA-18620,S-0041
TA-03634,S-0066
TA-08228,S-0066
TA-02432,S-0066
TA-00494,S-0066
TA-11886,S-0066
TA-20537,S-0066
TA-00453,S-0064
TA-01892,S-0054
TA-17282,S-0013
TA-09843,S-0041
TA-11761,S-0041
TA-06676,S-0066
TA-20422,S-0066
TA-20314,S-0066
TA-13267,S-0041
TA-06597,S-0066
TA-19954,S-0066
TA-00408,S-0072
TA-11318,S-0041
TA-19000,S-0066
TA-07738,S-0066
TA-05892,S-0041
TA-03289,S-0066
TA-10799,S-0066
TA-18996,S-0066
TA-10139,S-0066
TA-09526,S-0066
TA-09134,S-0066
TA-03339,S-0066
TA-01174,S-0066
TA-16398,S-0013
TA-19286,S-0072
TA-05111,S-0066
TA-10651,S-0041
TA-19352,S-0066
TA-16473,S-0054
TA-03791,S-0066
TA-01949,S-0066
TA-20900,S-0066
TA-01548,S-0066
TA-06957,S-0066
TA-11019,S-0066
TA-18666,S-0066
TA-01879,S-0066
TA-20072,S-0066
TA-17867,S-0026
TA-10973,S-0066
TA-09826,S-0072
TA-05701,S-0066
TA-11074,S-0066
TA-06895,S-0014
TA-00205,S-0066
TA-19183,S-0066
TA-01173,S-0066
TA-10813,S-0066
TA-03384,S-0066
TA-19128,S-0066
TA-16956,S-0104
TA-20867,S-0066
TA-05596,S-0066
TA-06564,S-0066
TA-20926,S-0066
TA-04146,S-0066
TA-17531,S-0066
TA-18442,S-0041
TA-20893,S-0066
TA-03718,S-0066
TA-03617,S-0066
TA-03382,S-0066
TA-17651,S-0058
TA-11525,S-0066
TA-10816,S-0066
TA-19002,S-0066
TA-20547,S-0066
TA-14634,S-0041
TA-20605,S-0066
TA-02375,S-0066
TA-12193,S-0041
TA-14209,S-0054
TA-20192,S-0066
TA-06441,S-0066
TA-01472,S-0066
TA-02683,S-0066
TA-07209,S-0026
TA-19168,S-0066
TA-18896,S-0066
TA-19065,S-0066
TA-02902,S-0066
TA-01932,S-0072
TA-10789,S-0066
TA-19935,S-0066
TA-05437,S-0066
TA-15468,S-0072
TA-05842,S-0081
TA-20288,S-0066
TA-15079,S-0041
TA-05629,S-0066
TA-04064,S-0041
TA-04380,S-0072
TA-01484,S-0066
TA-19831,S-0066
TA-02507,S-0066
TA-02535,S-0066
TA-10946,S-0066
TA-09358,S-0066
TA-06315,S-0041
TA-17559,S-0066
TA-03019,S-0066
TA-07202,S-0066
TA-10826,S-0066
TA-01475,S-0072
TA-08848,S-0066
TA-15091,S-0041
TA-02338,S-0066
TA-00270,S-0066
TA-06045,S-0072
TA-08640,S-0041
TA-11764,S-0072
TA-17458,S-0066
TA-18742,S-0066
TA-04905,S-0066
TA-02201,S-0066
TA-06182,S-0066
TA-20876,S-0066
TA-03062,S-0066
TA-12206,S-0066
TA-01805,S-0041
TA-07858,S-0066
TA-18706,S-0066
TA-14132,S-0041
TA-05047,S-0066
TA-05973,S-0066
TA-15017,S-0041
TA-06842,S-0066
TA-19072,S-0066
TA-18682,S-0066
TA-04238,S-0066
TA-06680,S-0066
TA-08460,S-0066
TA-16250,S-0041
TA-19921,S-0066
TA-16176,S-0041
TA-18666,S-0066
TA-07840,S-0066
TA-01181,S-0066
TA-19401,S-0066
TA-10917,S-0066
TA-11936,S-0054
TA-11017,S-0066
TA-19705,S-0066
TA-13967,S-0066
TA-10983,S-0066
TA-17909,S-0026
TA-18207,S-0041
TA-20754,S-0066
TA-05234,S-0072
TA-10665,S-0041
TA-02982,S-0066
TA-17055,S-0041
TA-02862,S-0054
TA-11035,S-0066
TA-01350,S-0066
TA-07572,S-0066
TA-08009,S-0066
TA-17589,S-0066
TA-04021,S-0066
TA-18698,S-0066
TA-18744,S-0072
TA-03349,S-0066
TA-08821,S-0066
TA-18950,S-0066
TA-03492,S-0066
TA-04125,S-0066
TA-11529,S-0041
TA-07986,S-0066
TA-00293,S-0066
TA-11922,S-0041
TA-18787,S-0072
TA-19708,S-0066
TA-20942,S-0066
TA-04969,S-0066
TA-02834,S-0072
TA-01997,S-0066
TA-13284,S-0041
TA-01537,S-0066
TA-14855,S-0054
TA-19378,S-0066
TA-19668,S-0066
TA-03149,S-0066
TA-06413,S-0066
TA-04006,S-0041
TA-02558,S-0062
TA-04153,S-0066
TA-07535,S-0066
TA-15439,S-0041
TA-15757,S-0026
TA-06862,S-0066
TA-06992,S-0072
TA-19937,S-0066
TA-04260,S-0066
TA-16307,S-0041
TA-06323,S-0066
TA-03789,S-0058
TA-16057,S-0041
TA-14445,S-0072
TA-02905,S-0066
TA-19114,S-0066
TA-19043,S-0041
TA-14391,S-0054
TA-00119,S-0066
TA-14128,S-0072
TA-08083,S-0066
TA-15166,S-0041
TA-05178,S-0072
TA-09068,S-0058
TA-20444,S-0066
TA-02070,S-0066
TA-01962,S-0066
TA-01022,S-0072
TA-00587,S-0015
TA-14620,S-0013
TA-11559,S-0072
TA-20145,S-0066
TA-07256,S-0066
TA-18942,S-0066
TA-19151,S-0066
TA-07285,S-0066
TA-11086,S-0066
TA-02688,S-0066
TA-08612,S-0041
TA-18872,S-0030
TA-15405,S-0041
TA-11847,S-0066
TA-19045,S-0066
TA-20328,S-0066
TA-04650,S-0066
TA-06643,S-0066
TA-03847,S-0066
TA-10801,S-0066
TA-07131,S-0066
TA-10751,S-0066
TA-14535,S-0072
TA-03049,S-0066
TA-18732,S-0066
TA-09697,S-0066
TA-17693,S-0072
TA-20206,S-0066
TA-17589,S-0066
TA-02853,S-0014
TA-14373,S-0026
TA-06168,S-0066
TA-06838,S-0066
TA-11266,S-0072
TA-01066,S-0066
TA-18870,S-0064
TA-00678,S-0066
TA-12491,S-0066
TA-08537,S-0066
TA-00495,S-0066
TA-00775,S-0066
TA-07287,S-0066
TA-16868,S-0066
TA-20639,S-0066
TA-11796,S-0013
TA-06168,S-0066
TA-17822,S-0026
TA-18706,S-0066
TA-00471,S-0066
TA-20167,S-0066
TA-03457,S-0066
TA-20644,S-0066
TA-05024,S-0041
TA-14591,S-0058
TA-01517,S-0066
TA-13167,S-0041
TA-20033,S-0066
TA-03223,S-0066
TA-01443,S-0066
TA-14096,S-0041
TA-19342,S-0066
TA-08030,S-0066
TA-19383,S-0066
TA-18035,S-0013
TA-00125,S-0066
TA-01335,S-0066
TA-05086,S-0066
TA-20833,S-0066
TA-01174,S-0066
TA-09209,S-0066
TA-16545,S-0081
TA-06163,S-0072
TA-20783,S-0066
TA-10805,S-0066
TA-01471,S-0066
